index_code,date,open,close,low,high,volume,money,change,label
sh000001,38077.0000 ,1726.5700 ,1741.6200 ,1724.2100 ,1745.7000 ,16144043000.0000 ,14187231900.0000 ,0.0101 ,1758.9800 
sh000001,38078.0000 ,1744.7100 ,1758.1500 ,1741.3300 ,1758.9800 ,17968146000.0000 ,16084637800.0000 ,0.0095 ,1771.6700 
sh000001,38079.0000 ,1760.4700 ,1768.6500 ,1756.6500 ,1771.6700 ,21285401000.0000 ,18900257000.0000 ,0.0060 ,1774.1200 
sh000001,38082.0000 ,1771.7400 ,1766.4800 ,1753.7100 ,1774.1200 ,23761206000.0000 ,21645503900.0000 ,-0.0012 ,1777.7400 
sh000001,38083.0000 ,1767.3200 ,1777.5200 ,1754.7400 ,1777.7400 ,23055705000.0000 ,20784275500.0000 ,0.0062 ,1783.0100 
sh000001,38084.0000 ,1779.4300 ,1774.5500 ,1771.1300 ,1783.0100 ,22372671000.0000 ,20473708000.0000 ,-0.0017 ,1778.1000 
sh000001,38085.0000 ,1774.4000 ,1770.2800 ,1765.0200 ,1778.1000 ,22368848000.0000 ,20656152800.0000 ,-0.0024 ,1778.2200 
sh000001,38086.0000 ,1770.9100 ,1727.3500 ,1721.5900 ,1778.2200 ,24414060000.0000 ,22170520200.0000 ,-0.0243 ,1729.6200 
sh000001,38089.0000 ,1717.2000 ,1722.9900 ,1702.4000 ,1729.6200 ,18443419000.0000 ,16316105300.0000 ,-0.0025 ,1734.9200 
sh000001,38090.0000 ,1724.5800 ,1715.1400 ,1710.3900 ,1734.9200 ,19100276000.0000 ,16730360300.0000 ,-0.0046 ,1716.8200 
sh000001,38091.0000 ,1714.5300 ,1697.1600 ,1678.3400 ,1716.8200 ,19527414000.0000 ,16834938100.0000 ,-0.0105 ,1705.0200 
sh000001,38092.0000 ,1697.2400 ,1679.0800 ,1674.9100 ,1705.0200 ,15138684000.0000 ,12962215900.0000 ,-0.0107 ,1694.5600 
sh000001,38093.0000 ,1678.9700 ,1693.8600 ,1656.3000 ,1694.5600 ,17515443000.0000 ,14467179300.0000 ,0.0088 ,1698.6900 
sh000001,38096.0000 ,1695.3300 ,1675.8900 ,1672.3500 ,1698.6900 ,13792015000.0000 ,11694357500.0000 ,-0.0106 ,1682.0500 
sh000001,38097.0000 ,1674.3600 ,1669.4200 ,1659.9500 ,1682.0500 ,12861664000.0000 ,11079449300.0000 ,-0.0039 ,1675.3600 
sh000001,38098.0000 ,1669.3800 ,1651.5800 ,1645.0800 ,1675.3600 ,15247235000.0000 ,12293836100.0000 ,-0.0107 ,1659.7900 
sh000001,38099.0000 ,1649.0500 ,1657.7900 ,1637.2900 ,1659.7900 ,12550463000.0000 ,10241894100.0000 ,0.0038 ,1653.9900 
sh000001,38100.0000 ,1653.9400 ,1635.5000 ,1632.5600 ,1653.9900 ,12261552000.0000 ,9802429200.0000 ,-0.0134 ,1644.5000 
sh000001,38103.0000 ,1633.2700 ,1635.5000 ,1623.0500 ,1644.5000 ,10212564000.0000 ,8296342100.0000 ,0.0000 ,1640.7000 
sh000001,38104.0000 ,1636.4400 ,1611.8600 ,1608.8100 ,1640.7000 ,12739215000.0000 ,10412613700.0000 ,-0.0145 ,1615.1400 
sh000001,38105.0000 ,1606.4200 ,1606.8000 ,1589.1000 ,1615.1400 ,12500215000.0000 ,10169455000.0000 ,-0.0031 ,1613.5600 
sh000001,38106.0000 ,1605.3000 ,1579.4500 ,1578.0900 ,1613.5600 ,13425744000.0000 ,10990144400.0000 ,-0.0170 ,1599.5600 
sh000001,38107.0000 ,1579.9700 ,1595.5900 ,1572.2300 ,1599.5600 ,12418380000.0000 ,9950046200.0000 ,0.0102 ,1603.0700 
sh000001,38117.0000 ,1600.6300 ,1560.2200 ,1555.2600 ,1603.0700 ,8180914000.0000 ,6320908300.0000 ,-0.0222 ,1570.7600 
sh000001,38118.0000 ,1556.7200 ,1568.0600 ,1545.6300 ,1570.7600 ,7744398000.0000 ,6118224500.0000 ,0.0050 ,1604.4200 
sh000001,38119.0000 ,1568.4100 ,1603.7700 ,1564.1400 ,1604.4200 ,10985571000.0000 ,8683936900.0000 ,0.0228 ,1606.0700 
sh000001,38120.0000 ,1605.7000 ,1597.5700 ,1589.4600 ,1606.0700 ,8865662000.0000 ,7298789900.0000 ,-0.0039 ,1597.3200 
sh000001,38121.0000 ,1596.7300 ,1562.6900 ,1558.5400 ,1597.3200 ,9411454000.0000 ,7340282200.0000 ,-0.0218 ,1562.3900 
sh000001,38124.0000 ,1556.6700 ,1539.9600 ,1537.4700 ,1562.3900 ,8401339000.0000 ,6490719300.0000 ,-0.0145 ,1555.8600 
sh000001,38125.0000 ,1537.3400 ,1555.4400 ,1526.2400 ,1555.8600 ,12053320000.0000 ,9771755700.0000 ,0.0101 ,1575.3800 
sh000001,38126.0000 ,1559.2600 ,1558.2900 ,1548.1600 ,1575.3800 ,12488554000.0000 ,9588837600.0000 ,0.0018 ,1571.3000 
sh000001,38127.0000 ,1556.6900 ,1549.0600 ,1542.2200 ,1571.3000 ,9150006000.0000 ,7063731100.0000 ,-0.0059 ,1559.8600 
sh000001,38128.0000 ,1548.5600 ,1558.3300 ,1545.6200 ,1559.8600 ,8438086000.0000 ,6357027200.0000 ,0.0060 ,1562.3300 
sh000001,38131.0000 ,1559.5500 ,1550.3500 ,1547.3600 ,1562.3300 ,7460342000.0000 ,5981192700.0000 ,-0.0051 ,1549.5900 
sh000001,38132.0000 ,1549.0200 ,1518.0500 ,1516.3500 ,1549.5900 ,9189448000.0000 ,7048290600.0000 ,-0.0208 ,1529.9100 
sh000001,38133.0000 ,1515.1600 ,1524.4400 ,1508.6500 ,1529.9100 ,7406569000.0000 ,5533020300.0000 ,0.0042 ,1559.5500 
sh000001,38134.0000 ,1524.9400 ,1557.1800 ,1515.9700 ,1559.5500 ,12268552000.0000 ,9268049500.0000 ,0.0215 ,1561.0000 
sh000001,38135.0000 ,1558.4200 ,1548.7200 ,1545.6500 ,1561.0000 ,8526790000.0000 ,6628512800.0000 ,-0.0054 ,1556.7900 
sh000001,38138.0000 ,1549.0300 ,1555.9100 ,1544.7100 ,1556.7900 ,7318381000.0000 ,5586197100.0000 ,0.0046 ,1579.8200 
sh000001,38139.0000 ,1555.5600 ,1579.6600 ,1553.1200 ,1579.8200 ,12991531000.0000 ,11035326100.0000 ,0.0153 ,1580.5700 
sh000001,38140.0000 ,1580.2100 ,1567.0700 ,1562.2400 ,1580.5700 ,13664552000.0000 ,11697217700.0000 ,-0.0080 ,1566.8300 
sh000001,38141.0000 ,1566.4200 ,1543.5300 ,1540.7400 ,1566.8300 ,11297773000.0000 ,9216851600.0000 ,-0.0150 ,1549.5000 
sh000001,38142.0000 ,1541.0900 ,1542.0900 ,1534.9900 ,1549.5000 ,10476024000.0000 ,8151323000.0000 ,-0.0009 ,1538.5000 
sh000001,38145.0000 ,1538.4600 ,1517.1500 ,1508.8700 ,1538.5000 ,9125217000.0000 ,7066976000.0000 ,-0.0162 ,1519.9900 
sh000001,38146.0000 ,1514.7800 ,1493.8100 ,1488.6300 ,1519.9900 ,10013928000.0000 ,7770319400.0000 ,-0.0154 ,1497.1800 
sh000001,38147.0000 ,1492.2000 ,1468.0700 ,1464.1600 ,1497.1800 ,11315240000.0000 ,8756700000.0000 ,-0.0172 ,1478.1700 
sh000001,38148.0000 ,1465.5600 ,1468.3400 ,1456.3200 ,1478.1700 ,10254900000.0000 ,7739197800.0000 ,0.0002 ,1499.4600 
sh000001,38149.0000 ,1471.6900 ,1472.0700 ,1469.5400 ,1499.4600 ,10370525000.0000 ,7772181800.0000 ,0.0025 ,1471.4500 
sh000001,38152.0000 ,1471.4500 ,1438.7400 ,1431.3100 ,1471.4500 ,10371316000.0000 ,7593384400.0000 ,-0.0226 ,1469.5700 
sh000001,38153.0000 ,1436.0800 ,1463.7800 ,1433.0300 ,1469.5700 ,9947545000.0000 ,7223726300.0000 ,0.0174 ,1491.6900 
sh000001,38154.0000 ,1465.2300 ,1475.4200 ,1452.5800 ,1491.6900 ,10870802000.0000 ,7844605900.0000 ,0.0080 ,1478.4900 
sh000001,38155.0000 ,1475.2700 ,1445.5000 ,1443.5300 ,1478.4900 ,9221102000.0000 ,6783634600.0000 ,-0.0203 ,1442.4800 
sh000001,38156.0000 ,1442.4800 ,1427.3000 ,1411.0300 ,1442.4800 ,9926429000.0000 ,7343849400.0000 ,-0.0126 ,1434.2000 
sh000001,38159.0000 ,1421.8300 ,1433.4700 ,1414.9700 ,1434.2000 ,7607222000.0000 ,5846250600.0000 ,0.0043 ,1456.1300 
sh000001,38160.0000 ,1434.4200 ,1450.6800 ,1430.9600 ,1456.1300 ,10669819000.0000 ,8316545000.0000 ,0.0120 ,1450.1100 
sh000001,38161.0000 ,1450.0700 ,1440.7300 ,1428.8000 ,1450.1100 ,8293680000.0000 ,6505749100.0000 ,-0.0069 ,1447.3900 
sh000001,38162.0000 ,1438.3100 ,1427.7500 ,1426.4900 ,1447.3900 ,9118140000.0000 ,6935926300.0000 ,-0.0090 ,1434.4700 
sh000001,38163.0000 ,1426.5500 ,1401.1100 ,1399.3900 ,1434.4700 ,9442829000.0000 ,7064110500.0000 ,-0.0187 ,1397.5200 
sh000001,38166.0000 ,1396.3600 ,1385.1800 ,1380.2000 ,1397.5200 ,7945725000.0000 ,5621284300.0000 ,-0.0114 ,1409.3800 
sh000001,38167.0000 ,1384.6400 ,1408.6900 ,1376.2200 ,1409.3800 ,10211618000.0000 ,6847560900.0000 ,0.0170 ,1415.8400 
sh000001,38168.0000 ,1408.2700 ,1399.1600 ,1394.6800 ,1415.8400 ,8200829000.0000 ,5567715000.0000 ,-0.0068 ,1445.1000 
sh000001,38169.0000 ,1398.2000 ,1441.0700 ,1396.3500 ,1445.1000 ,13822167000.0000 ,9389312600.0000 ,0.0300 ,1447.6100 
sh000001,38170.0000 ,1441.1200 ,1441.1900 ,1428.0700 ,1447.6100 ,10672663000.0000 ,7259998500.0000 ,0.0001 ,1444.9300 
